Directory,Model,Method,TaskID,LoC,Reliability,Maintainability,Security_Hotspots,CyC,CoC
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/149,9.0,0,0,0,2.0,1.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/150,17.0,0,3,0,1.0,0.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/151,20.0,0,1,0,2.0,1.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/152,19.0,0,0,0,4.0,4.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/153,9.0,0,0,0,2.0,1.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/154,16.0,0,0,0,4.0,4.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/155,12.0,0,1,0,1.0,0.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/156,14.0,0,1,0,1.0,0.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/157,12.0,0,0,0,3.0,2.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/158,12.0,0,0,0,1.0,0.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/159,10.0,0,2,0,1.0,0.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/160,14.0,0,0,0,3.0,2.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/161,18.0,0,0,0,3.0,3.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/162,14.0,0,1,0,1.0,0.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/163,13.0,0,1,0,2.0,1.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/164,14.0,0,2,0,1.0,0.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/165,18.0,0,0,0,1.0,0.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/166,15.0,0,0,0,7.0,7.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/167,17.0,0,1,0,2.0,1.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/168,16.0,0,2,0,1.0,0.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/169,16.0,0,1,0,3.0,2.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/170,10.0,0,1,0,2.0,1.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/171,12.0,0,1,0,1.0,0.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/172,10.0,0,0,0,2.0,2.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/173,7.0,0,1,0,1.0,0.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,BigCodeBench/174,8.0,0,1,0,2.0,1.0
